"","id","lon","lat","n_building"
"284",284,-105.491722785057,40.2618596974447,0
"285",285,-105.490546810767,40.2618646884776,0
"286",286,-105.489370836185,40.2618696675608,0
"287",287,-105.48819486131,40.2618746346942,0
"288",288,-105.487018886142,40.2618795898779,0
"289",289,-105.485842910684,40.2618845331117,0
"290",290,-105.484666934934,40.2618894643958,0
"291",291,-105.483490958895,40.2618943837301,0
"292",292,-105.482314982567,40.2618992911146,0
"293",293,-105.48113900595,40.2619041865493,0
"294",294,-105.564051090953,40.2623099819032,0
"295",295,-105.562875122554,40.2623157079849,0
"296",296,-105.561699153819,40.2623214221171,0
"297",297,-105.560523184748,40.2623271242999,0
"298",298,-105.559347215342,40.2623328145331,0
"299",299,-105.558171245601,40.2623384928167,0
"300",300,-105.556995275526,40.2623441591509,0
"301",301,-105.555819305118,40.2623498135355,0
"302",302,-105.554643334377,40.2623554559705,0
"303",303,-105.553467363305,40.262361086456,0
"304",304,-105.552291391902,40.2623667049919,0
"305",305,-105.551115420168,40.2623723115781,0
"306",306,-105.549939448104,40.2623779062149,1
"307",307,-105.548763475712,40.262383488902,0
"308",308,-105.547587502991,40.2623890596394,1
"309",309,-105.546411529943,40.2623946184273,1
"310",310,-105.545235556568,40.2624001652655,0
"311",311,-105.544059582867,40.2624057001541,0
"312",312,-105.54288360884,40.262411223093,3
"313",313,-105.541707634488,40.2624167340823,0
"314",314,-105.540531659813,40.2624222331218,0
"315",315,-105.539355684814,40.2624277202117,0
"316",316,-105.538179709492,40.262433195352,0
"317",317,-105.537003733849,40.2624386585425,0
"318",318,-105.535827757884,40.2624441097833,0
"319",319,-105.534651781599,40.2624495490743,0
"320",320,-105.533475804994,40.2624549764157,0
"321",321,-105.53229982807,40.2624603918073,0
"322",322,-105.531123850827,40.2624657952491,0
"323",323,-105.529947873267,40.2624711867412,0
"324",324,-105.528771895389,40.2624765662835,0
"325",325,-105.527595917196,40.262481933876,0
"326",326,-105.526419938687,40.2624872895188,0
"327",327,-105.525243959862,40.2624926332118,0
"328",328,-105.524067980724,40.2624979649549,0
"329",329,-105.522892001272,40.2625032847482,0
"330",330,-105.521716021508,40.2625085925917,0
"331",331,-105.520540041431,40.2625138884854,0
"332",332,-105.519364061043,40.2625191724292,0
"333",333,-105.518188080344,40.2625244444232,0
"334",334,-105.517012099335,40.2625297044673,0
